time,temperature,pressure,lattice,pos1,pos2
0.324000,1859.192379,31580.043361,4.121535,-0.262838,0.241930,0.290995
0.325000,1857.983965,31369.673368,4.121724,-0.257477,0.252506,0.293814
0.326000,1858.062296,31129.510719,4.121911,-0.251805,0.262653,0.296836
0.327000,1859.351873,30861.887395,4.122097,-0.245819,0.272353,0.300070
0.328000,1861.774177,30569.309258,4.122281,-0.239518,0.281592,0.303521
0.329000,1865.252843,30258.301411,4.122464,-0.232901,0.290357,0.307196
0.330000,1869.717465,29933.302301,4.122644,-0.225965,0.298637,0.311099
0.331000,1875.101983,29597.582487,4.122822,-0.218707,0.306424,0.315233
0.332000,1881.341144,29253.965317,4.122999,-0.211126,0.313711,0.319599
0.333000,1888.369070,28912.762709,4.123173,-0.203220,0.320494,0.324196
0.334000,1896.116848,28582.443169,4.123345,-0.194987,0.326770,0.329021
0.335000,1904.506474,28266.660309,4.123516,-0.186427,0.332539,0.334072
0.336000,1913.448846,27964.869314,4.123684,-0.177541,0.337802,0.339342
0.337000,1922.841406,27688.563740,4.123851,-0.168329,0.342563,0.344825
0.338000,1932.565017,27443.815019,4.124017,-0.158795,0.346828,0.350510
0.339000,1942.481992,27231.156550,4.124181,-0.148945,0.350605,0.356387
0.340000,1952.437593,27058.823790,4.124344,-0.138784,0.353902,0.362444
0.341000,1962.265059,26929.192064,4.124506,-0.128322,0.356731,0.368666
0.342000,1971.788168,26847.976853,4.124668,-0.117571,0.359105,0.375037
0.343000,1980.827842,26818.796912,4.124830,-0.106546,0.361037,0.381539
0.344000,1989.209033,26838.790497,4.124992,-0.095264,0.362543,0.388152
0.345000,1996.767080,26913.901986,4.125154,-0.083746,0.363641,0.394853
0.346000,2003.353998,27046.680317,4.125317,-0.072014,0.364347,0.401618
0.347000,2008.842322,27238.711692,4.125481,-0.060097,0.364682,0.408421
0.348000,2013.126169,27487.487387,4.125647,-0.048026,0.364664,0.415233
0.349000,2016.118721,27791.285806,4.125815,-0.035836,0.364313,0.422020
0.350000,2017.754003,28147.413809,4.125985,-0.023566,0.363651,0.428748
0.351000,2017.990098,28546.974274,4.126157,-0.011260,0.362699,0.435379
0.352000,2016.808056,28988.197181,4.126332,0.001032,0.361476,0.441871
0.353000,2014.210820,29465.514517,4.126509,0.013259,0.360004,0.448179
0.354000,2010.221300,29970.132674,4.126690,0.025363,0.358303,0.454255
0.355000,2004.882577,30495.902009,4.126874,0.037283,0.356392,0.460048
0.356000,1998.257718,31034.096767,4.127061,0.048952,0.354289,0.465503
0.357000,1990.425862,31579.766410,4.127252,0.060302,0.352011,0.470564
0.358000,1981.483929,32130.835881,4.127446,0.071261,0.349574,0.475171
0.359000,1971.550806,32682.481603,4.127643,0.081756,0.346991,0.479261
0.360000,1960.764705,33229.553930,4.127843,0.091713,0.344273,0.482773
0.361000,1949.279676,33766.655412,4.128047,0.101057,0.341429,0.485644
0.362000,1937.265231,34278.173174,4.128254,0.109718,0.338466,0.487811
